x,y,z,K,activation_time,speed
-0.3153,17.9565,9.3454,0.009061,279,0.21188
7.7962,18.2081,1.2904,0.007695,243,0.24136
7.3487,18.8398,-0.7206,0.003941,243,0.23920
7.1680,19.1039,1.1658,0.005221,247,0.24121
-8.7888,18.0650,4.6679,0.008112,315,0.23395
-5.7345,19.8725,-5.2131,0.013358,287,0.18250
1.6266,18.6704,-7.7319,0.004272,255,0.06450
-5.6181,17.7169,8.3654,0.006480,299,0.11991
0.6058,18.2091,9.0327,0.007121,275,0.18013
6.7600,18.5359,3.9995,0.004051,251,0.07067
-2.4135,18.2677,-8.3013,0.008429,270,0.27906
2.2782,15.9887,9.5863,0.002402,271,0.15517
-9.3798,17.6219,3.7706,0.005456,319,0.09725
-6.3886,18.9969,-5.5676,0.004009,287,0.24858
5.2821,19.3254,-4.6207,0.009254,247,0.23026
-6.9970,18.0745,7.1229,0.009891,306,0.21910
-8.4148,18.9497,-2.7791,0.009645,299,0.10452
-9.8661,17.6154,1.6920,0.009740,317,0.21754
2.0740,17.8192,-8.2282,0.007539,254,0.26129
0.9809,18.0056,-8.4033,0.004926,258,0.24846
5.3865,19.0524,5.5008,0.007585,255,0.20368
-6.5606,17.4153,7.8720,0.003724,303,0.11449
-3.4484,17.8925,9.1593,0.005028,291,0.22279
-9.2121,17.1296,4.7428,0.010918,318,0.13868
-3.9724,18.9006,-7.3070,0.008911,275,0.07817
-1.9229,17.4546,-8.8996,0.003432,269,0.13693
2.3125,17.8339,8.7083,0.007556,267,0.05383
6.7327,19.1091,3.0246,0.006877,251,0.16684
0.3705,17.2517,-9.0120,0.006555,261,0.13917
6.6561,19.6642,-0.8457,0.006309,247,0.22548
6.1147,18.7148,-4.2894,0.006902,243,0.19575
-7.2976,18.8069,-4.7458,0.005766,291,0.11359
4.8120,18.9634,-5.5518,0.009513,247,0.24472
5.7563,19.5061,-3.6761,0.009393,247,0.12755
-3.5184,18.1813,-8.0526,0.004967,274,0.28246
-6.0709,18.3563,-6.4722,0.010372,283,0.06756
5.2271,18.0375,-6.0761,0.006266,243,0.14824
4.1867,17.7419,7.7355,0.004592,259,0.04439
7.6198,18.5583,0.2884,0.006017,243,0.24246
-8.5573,17.5214,5.5771,0.005970,314,0.19816
-9.5210,18.4334,0.9474,0.009118,313,0.26788
3.3185,17.8460,8.2135,0.008406,263,0.06079
-8.1745,18.0564,-4.3460,0.008631,295,0.19372
-7.7965,17.8008,6.4322,0.011112,310,0.16393
-4.5691,18.0221,-7.7217,0.008746,278,0.28006
-8.2917,16.9396,6.3898,0.014248,311,0.09832
-9.8790,17.0969,2.8168,0.007955,321,0.12943
-8.6618,18.1576,-3.3890,0.007063,299,0.21749
-9.7264,16.6851,3.8995,0.009124,322,0.07523
-5.0069,18.7348,-6.9034,0.005109,279,0.08150
-9.0591,18.2504,-2.3297,0.006213,303,0.18405
-10.2515,16.7872,0.9372,0.010620,318,0.23384
6.1059,19.4259,3.8370,0.008393,254,0.13647
-5.0938,17.0425,8.9876,0.010859,299,0.09023
-7.4484,17.0500,7.2798,0.016382,307,0.11084
1.3602,17.5718,9.1657,0.003605,271,0.04038
-1.2753,18.2581,-8.4327,0.006011,266,0.27241
-7.0156,18.1799,-5.7373,0.009464,287,0.06243
2.4061,16.9972,-8.6325,0.006385,254,0.09311
3.0502,17.1796,8.7558,0.005675,267,0.16344
2.2220,16.9341,9.1953,0.002574,271,0.12261
1.4115,17.0923,-8.8928,0.006465,257,0.17375
-8.7234,15.9265,6.3392,0.013980,315,0.25526
5.6985,18.4230,-5.1946,0.004801,243,0.23568
5.0596,17.6678,7.1209,0.004798,255,0.05414
-7.7106,17.8622,-5.1876,0.005096,291,0.07992
-10.1931,16.6997,1.9851,0.008018,321,0.21243
-5.2966,17.0515,-7.9547,0.010380,281,0.25393
8.3500,17.2582,1.4216,0.006513,239,0.24090
-0.7777,17.4338,-9.0079,0.009872,265,0.18392
7.1569,18.4367,-2.6449,0.003389,239,0.10681
5.2648,18.3711,6.3327,0.006238,255,0.19847
4.7365,17.5845,-6.8942,0.006518,243,0.07426
-8.0588,16.2990,7.0030,0.006233,311,0.23425
7.3363,17.6362,4.1270,0.003436,247,0.06859
-6.8705,16.4285,8.1183,0.013884,306,0.14603
-6.8408,17.5493,-6.4266,0.002339,287,0.18101
-5.4677,17.9181,-7.2807,0.006220,282,0.25610
-2.3115,18.1100,9.2840,0.012956,287,0.19359
7.6401,18.2268,-1.6124,0.007320,239,0.24394
0.9232,16.2051,-9.4766,0.005836,258,0.16639
-0.2706,16.5598,-9.4745,0.008910,262,0.14023
-3.0504,17.4113,-8.7121,0.008484,273,0.15007
-9.8347,17.5840,-0.7165,0.011012,311,0.21997
5.9128,17.4677,6.4629,0.007752,251,0.05768
3.9161,16.8437,8.4415,0.004381,263,0.23836
-6.1910,17.3165,-7.1665,0.007964,285,0.14268
4.2916,18.5269,-6.4252,0.003599,247,0.19995
-4.1659,17.2827,-8.4001,0.006945,277,0.17272
6.0628,18.1340,5.6434,0.003909,251,0.12103
-1.4129,16.6228,-9.4493,0.011257,266,0.13889
8.2041,17.6281,0.4204,0.003922,239,0.24287
-8.8732,17.2654,-3.9742,0.007072,299,0.23790
-4.1547,17.2711,9.2691,0.009407,295,0.09211
-2.5337,16.5764,-9.2962,0.004350,270,0.12062
6.8872,18.1336,-3.7784,0.006799,239,0.22993
5.6291,17.0423,-6.5329,0.006152,239,0.06825
-7.6700,17.0431,-5.9020,0.003339,291,0.21334
-9.5449,16.1055,4.7757,0.005643,319,0.09376
7.3495,18.2253,3.1559,0.005610,247,0.17263
7.2992,18.7054,2.1678,0.007989,247,0.23621
3.1904,17.3570,-8.0332,0.004737,250,0.25021
-8.9801,16.5522,5.5897,0.007576,315,0.09619
-9.9157,17.6184,0.4517,0.006961,314,0.26123
7.8782,17.7920,2.2702,0.003168,243,0.23503
7.3444,17.1017,-4.2163,0.002756,235,0.17241
6.7053,17.1588,5.7786,0.011373,247,0.05325
-9.6045,17.4853,-1.8353,0.004917,307,0.23394
3.1367,15.3660,9.4890,0.002682,269,0.20648
-1.5116,17.8293,9.4543,0.006651,283,0.14943
-10.3721,15.9092,2.3660,0.006668,325,0.05705
7.8320,16.8340,4.1041,0.003272,243,0.26109
7.2040,16.1291,5.9790,0.006739,247,0.17813
-10.0784,16.6923,-1.3257,0.010795,311,0.23348
6.4636,16.5007,6.6150,0.005770,251,0.23422
6.0821,17.4858,-5.6771,0.003348,239,0.16368
-5.6299,16.0154,-8.3284,0.006630,282,0.24463
4.1630,17.2080,-7.6053,0.008810,246,0.23553
-5.3504,16.1011,9.2208,0.008140,299,0.26040
7.4946,17.6373,-3.2914,0.010505,235,0.08066
-3.3984,16.8129,9.6756,0.009666,291,0.23855
2.0449,16.1989,-9.1803,0.003819,254,0.24715
-9.2896,17.3842,-2.9311,0.007488,303,0.23912
5.6418,16.7976,7.2380,0.007959,255,0.24538
4.7638,16.9074,7.8612,0.004278,259,0.23705
3.1200,16.3326,9.1031,0.005325,267,0.17364
1.3968,16.6566,9.5999,0.006034,275,0.06166
-3.6182,16.5059,-9.0581,0.009548,274,0.18983
6.1243,18.7978,4.7767,0.006359,251,0.07264
3.7208,18.0513,-7.2390,0.005121,247,0.07056
6.7873,17.8332,4.9322,0.007705,247,0.06154
-8.3624,17.1028,-4.9508,0.004161,295,0.23159
-7.0723,16.6396,-6.8314,0.005521,289,0.14235
-10.2236,16.7688,-0.1983,0.005479,315,0.22122
7.9830,17.9547,-0.5924,0.008888,239,0.24273
8.8309,16.2692,1.5791,0.003349,235,0.23786
5.5906,15.3204,8.1119,0.003241,259,0.09483
1.4313,15.6395,9.9733,0.003427,275,0.27112
